id,name,details,description,price,gluten,milk,lactose,nuts,meat,animal,fish,seafood,soy,egg
27,"Talon Burger ateria",(L),"Suomalainen naudan täyslihapihvi, leipäjuustoa, paholaisensalsaa, salaattia, tomaattia, hampurilais- ja kurkkumajoneesia.","18,90 €",1,1,0,0,1,1,0,0,0,0
28,"Premium Burger ateria",(L),"Kaksi suomalaista naudan täyslihapihviä, salaattia, tomaattia, cheddarjuustoa, pekonia, marinoitua punasipulia, paneroituja sipulirenkaita sekä hampurilais- ja kurkkumajoneesia.","19,90 €",1,1,0,0,1,1,0,0,0,0
29,"BBQ Burger ateria",(L),"BBQ-kastiketta, suomalainen naudan täyslihapihvi, cheddarjuustoa, salaattia, tomaattia, marinoitua punasipulia sekä hampurilais- ja kurkkumajoneesia.","18,90 €",1,1,0,0,1,1,0,0,0,0
30,"Broileri Burger ateria",(L),"Maissipaneroitua broilerin rintafileetä, vuohenjuustoa, salaattia, tomaattia, marinoitua punasipulia, paneroituja sipulirenkaita sekä hampurilais- ja kurkkumajoneesia.","18,90 €",1,1,0,0,1,1,0,0,0,0
31,"Special Opera",(L),"Salamia, kinkkua ja tonnikalaa.","14,90 €",1,1,0,0,1,1,1,0,0,0
32,Americana,(L),"Kinkkua, ananasta, BBQ-kastiketta ja rucolaa.","14,90 €",1,1,0,0,1,1,0,0,0,0
33,"Margherita Juustoportin tapaan",(L),"Tomaattikastiketta, leipäjuustoa, juustoraastetta.","14,90 €",1,1,0,0,0,1,0,0,0,0
34,"Fantasiapizza kolmella täytteellä","","Täytteet: Ananas, tomaatti, punasipuli, valkosipuli, sieni, leipäjuusto, chevre, aurajuusto, kinkku, kana, pekoni, tonnikala, pepperonisalami, kebab, katkarapu, jalapeno, ilmakuivattukinkku, paholaisensalsa, rukola.","15,90 €",1,1,0,0,1,1,1,0,0,0
35,"Kanafarmarin Lautapizza BBQ",(L),"Vuolukanaa, puolikuivattua tomaattia, punasipulia, ananasta, rucolaa ja BBQ-kastiketta.","15,90 €",1,1,0,0,1,1,0,0,0,0
36,"Juustokellarin Lautapizza",(L),"Leipäjuustoa, paprikajuustoa, aurajuustoa, puolikuivattua tomaattia, rucolaa ja lakkahilloa.","15,90 €",1,1,0,0,0,1,0,0,0,0
37,"Keisarin Lautapizza",(L),"Ilmakuivattua kinkkua, leipäjuustoa, puolikuivattuja tomaatteja, marinoitua punasipulia ja rucolaa.","15,90 €",1,1,0,0,1,1,0,0,0,0
38,"Kebab Lautapizza",(L),"Kebablihaa, juustoraastetta, puolikuivattuja tomaatteja, jalapenoa, marinoitua punasipulia, kebab- ja valkosipulikastiketta, rucolaa.","15,90 €",1,1,0,0,1,1,0,0,0,0
39,"Broileri Burrito",(L),"Rapeaksi paneroitua broileria, juusto- ja salsakastiketta, juustoraastetta, raikasta salaattia, miniluumutomaattia, jalapenoa ja lime-jalapenomajoneesia. Juustoportin Burriton voit valita joko Nacholastu & salsadipin tai Tikkuperuna & Chilimajoneesidipin kera.","15,90 €",1,1,0,0,1,1,0,0,0,0
40,"Kasvispihvi Burrito",(L),"Herne-punajuuripihviä, juusto- ja salsakastiketta, juustoraastetta, raikasta salaattia, miniluumutomaattia, jalapenoa ja lime-jalapenomajoneesia. Juustoportin Burriton voit valita joko Nacholastu & salsadipin tai Tikkuperuna & Chilimajoneesidipin kera.","15,90 €",1,1,0,0,0,0,0,0,0,0
41,Kebab,"(L, G)","Kebablihaa, maalaisranskanperunoita, raikasta salaattia, miniluumutomaattia, punasipulia, valkosipulijogurttikastiketta ja kebabkastiketta.","15,90 €",1,1,0,0,1,1,0,0,0,0
42,"Artesaanin makkaraperunat","(L, G)","Atrian artesaani makkaraa, chorizoa, bratwursteja, tikkuperunoita, salaattia, marinoitua punasipulia, sinappikurkkusalaattia ja dijonsinappidippi.","15,90 €",1,1,0,0,1,1,0,0,0,0
43,"Juustoportin Burrito Combo",(L),"Valitse broileri- tai kasvispihvitäyte. Sisältää juustokastiketta, salaattia, salsaa ja chilimajoneesia.","16,90 €",1,1,0,0,1,1,0,0,0,0
